kunci,nama,nama_swf,nama_kelas,berkas_swf,level,min_level,max_level,gold,xp,tipe,stat_lengkap,jumlah_skill,hp_dasar,random_battle
enemy274,"""Zeus' Right Hand""",ene_274,Ene_274,cdn/swf/latest/swf/enemies/ene_274.swf,20,20,99,400,550,2,tidak,0,,False
enemy275,"""Zeus' Left Hand""",ene_275,Ene_275,cdn/swf/latest/swf/enemies/ene_275.swf,20,20,99,400,550,2,tidak,0,,False
enemy276,Zeus,ene_276,Ene_276,cdn/swf/latest/swf/enemies/ene_276.swf,20,20,99,400,550,2,tidak,0,,False
enemy277,Cerberus,ene_277,Ene_277,cdn/swf/latest/swf/enemies/ene_277.swf,1,1,99,400,550,2,tidak,0,,False
enemy280,Rage Bear,ene_280,Ene_280,cdn/swf/latest/swf/enemies/ene_280.swf,1,1,99,400,550,2,tidak,0,,False
enemy281,Hanasikukozo,ene_281,Ene_281,cdn/swf/latest/swf/enemies/ene_281.swf,1,1,99,400,550,2,tidak,0,,False
enemy282,Kakushi Toridetoko,ene_282,Ene_282,cdn/swf/latest/swf/enemies/ene_282.swf,1,1,99,400,550,2,tidak,0,,False
enemy283,Kasikoki,ene_283,Ene_283,cdn/swf/latest/swf/enemies/ene_283.swf,1,1,99,400,550,2,tidak,0,,False
enemy284,Raven Ninja,ene_284,Ene_284,cdn/swf/latest/swf/enemies/ene_284.swf,1,1,99,400,550,2,tidak,0,,False
enemy285,Kappa,ene_285,Ene_285,cdn/swf/latest/swf/enemies/ene_285.swf,1,1,99,400,550,2,tidak,0,,False
enemy286,Kojima,ene_286,Ene_286,cdn/swf/latest/swf/enemies/ene_286.swf,1,1,99,400,550,2,tidak,0,,False
enemy287,Kojima,ene_287,Ene_287,cdn/swf/latest/swf/enemies/ene_287.swf,1,1,99,400,550,2,tidak,0,,False
enemy288,Gedou Snake,ene_288,Ene_288,cdn/swf/latest/swf/enemies/ene_288.swf,1,1,99,400,550,2,tidak,0,,False
enemy289,Origami Deer,ene_289,Ene_289,cdn/swf/latest/swf/enemies/ene_289.swf,1,1,99,400,550,2,tidak,0,,False
enemy290,Origami Crane,ene_290,Ene_290,cdn/swf/latest/swf/enemies/ene_290.swf,1,1,99,400,550,2,tidak,0,,False
enemy291,Origami Dragon,ene_291,Ene_291,cdn/swf/latest/swf/enemies/ene_291.swf,1,1,99,400,550,2,tidak,0,,False
enemy292,Origami Bear,ene_292,Ene_292,cdn/swf/latest/swf/enemies/ene_292.swf,1,1,99,400,550,2,tidak,0,,False
enemy293,Evil Yobi,ene_293,Ene_293,cdn/swf/latest/swf/enemies/ene_293.swf,1,1,99,400,550,2,tidak,0,,False
enemy294,Evil Gobi,ene_294,Ene_294,cdn/swf/latest/swf/enemies/ene_294.swf,1,1,99,400,550,2,tidak,0,,False
enemy295,Evil Rokubi,ene_295,Ene_295,cdn/swf/latest/swf/enemies/ene_295.swf,1,1,99,400,550,2,tidak,0,,False
enemy296,Evil Nanabi,ene_296,Ene_296,cdn/swf/latest/swf/enemies/ene_296.swf,1,1,99,400,550,2,tidak,0,,False
enemy297,Evil Hachibi,ene_297,Ene_297,cdn/swf/latest/swf/enemies/ene_297.swf,1,1,99,400,550,2,tidak,0,,False
enemy298,Evil Kyubi,ene_298,Ene_298,cdn/swf/latest/swf/enemies/ene_298.swf,1,1,99,400,550,2,tidak,0,,False
enemy299,Cheese Thief - A,ene_299,Ene_299,cdn/swf/latest/swf/enemies/ene_299.swf,1,1,99,400,550,2,tidak,0,,False
enemy300,Cheese Thief - R,ene_300,Ene_300,cdn/swf/latest/swf/enemies/ene_300.swf,1,1,99,400,550,2,tidak,0,,False
enemy301,Cheese Thief - E,ene_301,Ene_301,cdn/swf/latest/swf/enemies/ene_301.swf,1,1,99,400,550,2,tidak,0,,False
enemy302,Cheese Thief - T,ene_302,Ene_302,cdn/swf/latest/swf/enemies/ene_302.swf,1,1,99,400,550,2,tidak,0,,False
enemy303,Cheese Thief - S,ene_303,Ene_303,cdn/swf/latest/swf/enemies/ene_303.swf,1,1,99,400,550,2,tidak,0,,False
enemy304,Zombie,ene_304,Ene_304,cdn/swf/latest/swf/enemies/ene_304.swf,1,1,99,400,550,2,tidak,0,,False
enemy305,Werewolf,ene_305,Ene_305,cdn/swf/latest/swf/enemies/ene_305.swf,1,1,99,400,550,2,tidak,0,,False
enemy306,Pirate Skeleton,ene_306,Ene_306,cdn/swf/latest/swf/enemies/ene_306.swf,1,1,99,400,550,2,tidak,0,,False
enemy307,Sadness Joker,ene_307,Ene_307,cdn/swf/latest/swf/enemies/ene_307.swf,1,1,99,400,550,2,tidak,0,,False
enemy308,Geisha Girl,ene_308,Ene_308,cdn/swf/latest/swf/enemies/ene_308.swf,1,1,99,400,550,2,tidak,0,,False
enemy309,Legend Griffin,ene_309,Ene_309,cdn/swf/latest/swf/enemies/ene_309.swf,1,1,99,400,550,2,tidak,0,,False
enemy310,Red Griffin,ene_310,Ene_310,cdn/swf/latest/swf/enemies/ene_310.swf,1,1,99,400,550,2,tidak,0,,False
enemy311,Yellow Griffin,ene_311,Ene_311,cdn/swf/latest/swf/enemies/ene_311.swf,1,1,99,400,550,2,tidak,0,,False
enemy312,Legend Phoenix,ene_312,Ene_312,cdn/swf/latest/swf/enemies/ene_312.swf,1,1,99,400,550,2,tidak,0,,False
enemy313,Flamy Phoenix,ene_313,Ene_313,cdn/swf/latest/swf/enemies/ene_313.swf,1,1,99,400,550,2,tidak,0,,False
enemy314,Golden Phoenix,ene_314,Ene_314,cdn/swf/latest/swf/enemies/ene_314.swf,1,1,99,400,550,2,tidak,0,,False
enemy315,Legend Kraken,ene_315,Ene_315,cdn/swf/latest/swf/enemies/ene_315.swf,1,1,99,400,550,2,tidak,0,,False
enemy316,Red Kraken,ene_316,Ene_316,cdn/swf/latest/swf/enemies/ene_316.swf,1,1,99,400,550,2,tidak,0,,False
enemy317,Orange Kraken,ene_317,Ene_317,cdn/swf/latest/swf/enemies/ene_317.swf,1,1,99,400,550,2,tidak,0,,False
enemy318,Miss Yolanda,ene_318,Ene_318,cdn/swf/latest/swf/enemies/ene_318.swf,1,1,99,400,550,2,tidak,0,,False
enemy319,Arctic Dweller,ene_319,Ene_319,cdn/swf/latest/swf/enemies/ene_319.swf,1,1,99,400,550,2,tidak,0,,False
enemy320,Ancient Frost Demon,ene_320,Ene_320,cdn/swf/latest/swf/enemies/ene_320.swf,1,1,99,400,550,2,tidak,0,,False
enemy321,Tundra Wolf,ene_321,Ene_321,cdn/swf/latest/swf/enemies/ene_321.swf,1,1,99,400,550,2,tidak,0,,False
enemy322,Glacial Ward,ene_322,Ene_322,cdn/swf/latest/swf/enemies/ene_322.swf,1,1,99,400,550,2,tidak,0,,False
enemy323,Snow Sapling,ene_323,Ene_323,cdn/swf/latest/swf/enemies/ene_323.swf,1,1,99,400,550,2,tidak,0,,False
enemy324,Snow Treant,ene_324,Ene_324,cdn/swf/latest/swf/enemies/ene_324.swf,1,1,99,400,550,2,tidak,0,,False
enemy325,Shrub Wolf,ene_325,Ene_325,cdn/swf/latest/swf/enemies/ene_325.swf,1,1,99,400,550,2,tidak,0,,False
enemy326,Poinsettia Wolf,ene_326,Ene_326,cdn/swf/latest/swf/enemies/ene_326.swf,1,1,99,400,550,2,tidak,0,,False
enemy327,Ice Giant,ene_327,Ene_327,cdn/swf/latest/swf/enemies/ene_327.swf,1,1,99,400,550,2,tidak,0,,False
enemy328,Ice Titan,ene_328,Ene_328,cdn/swf/latest/swf/enemies/ene_328.swf,1,1,99,400,550,2,tidak,0,,False
enemy329,Akajuu,ene_329,Ene_329,cdn/swf/latest/swf/enemies/ene_329.swf,1,1,99,400,550,2,tidak,0,,False
enemy330,Shadowfang,ene_330,Ene_330,cdn/swf/latest/swf/enemies/ene_330.swf,1,1,99,400,550,2,tidak,0,,False
enemy331,Explosive Egg,ene_331,Ene_331,cdn/swf/latest/swf/enemies/ene_331.swf,1,1,99,400,550,2,tidak,0,,False
enemy332,Akuma Gobi,ene_332,Ene_332,cdn/swf/latest/swf/enemies/ene_332.swf,1,1,99,400,550,2,tidak,0,,False
enemy333,Berserk Hornbill,ene_333,Ene_333,cdn/swf/latest/swf/enemies/ene_333.swf,1,1,99,400,550,2,tidak,0,,False
enemy334,Panzer Bear,ene_334,Ene_334,cdn/swf/latest/swf/enemies/ene_334.swf,1,1,99,400,550,2,tidak,0,,False
enemy335,Crimson Thorn Archelon,ene_335,Ene_335,cdn/swf/latest/swf/enemies/ene_335.swf,1,1,99,400,550,2,tidak,0,,False
enemy336,Crimson Demon,ene_336,Ene_336,cdn/swf/latest/swf/enemies/ene_336.swf,1,1,99,400,550,2,tidak,0,,False
enemy337,Calamity Serpent,ene_337,Ene_337,cdn/swf/latest/swf/enemies/ene_337.swf,1,1,99,400,550,2,tidak,0,,False
enemy338,Evil Clown Dragon,ene_338,Ene_338,cdn/swf/latest/swf/enemies/ene_338.swf,1,1,99,400,550,1,ya,8,300,False
enemy339,Snow Blue Dragon,ene_339,Ene_339,cdn/swf/latest/swf/enemies/ene_339.swf,1,1,99,400,550,1,ya,8,300,False
enemy340,Earth Dragon Turtle,ene_340,Ene_340,cdn/swf/latest/swf/enemies/ene_340.swf,1,1,99,400,550,1,ya,8,300,False
enemy341,Thunder Triple Dragon,ene_341,Ene_341,cdn/swf/latest/swf/enemies/ene_341.swf,1,1,99,400,550,1,ya,8,300,False
enemy342,Inferno Chains Dragon,ene_342,Ene_342,cdn/swf/latest/swf/enemies/ene_342.swf,1,1,99,400,550,1,ya,8,300,False
enemy343,Fire Origami Fox,ene_343,Ene_343,cdn/swf/latest/swf/enemies/ene_343.swf,1,1,99,400,550,2,ya,5,400,False
enemy344,Rebound,ene_344,Ene_344,cdn/swf/latest/swf/enemies/ene_344.swf,1,1,99,400,550,2,ya,2,400,False
enemy345,White Puppet,ene_345,Ene_345,cdn/swf/latest/swf/enemies/ene_345.swf,80,80,80,400,550,1,ya,3,450,False
enemy346,Shadow Cerberus,ene_346,Ene_346,cdn/swf/latest/swf/enemies/ene_346.swf,80,80,80,400,550,1,ya,3,450,False
enemy347,Purple Giant Bird,ene_347,Ene_347,cdn/swf/latest/swf/enemies/ene_347.swf,80,80,80,400,550,1,ya,3,450,False
enemy348,Crimson Armor Centipede,ene_357,Ene_357,cdn/swf/latest/swf/enemies/ene_357.swf,80,80,80,400,550,1,ya,2,450,False
enemy349,Rage Bull,ene_349,Ene_349,cdn/swf/latest/swf/enemies/ene_349.swf,80,80,80,400,550,1,ya,2,450,False
enemy350,Golden Giant Crab,ene_350,Ene_350,cdn/swf/latest/swf/enemies/ene_350.swf,80,80,80,400,550,1,ya,2,450,False
enemy351,Rock Giants,ene_351,Ene_351,cdn/swf/latest/swf/enemies/ene_351.swf,80,80,80,400,550,1,ya,2,450,False
enemy352,Flame Snake,ene_352,Ene_352,cdn/swf/latest/swf/enemies/ene_352.swf,80,80,80,400,550,1,ya,2,450,False
enemy353,Thunder Bird,ene_353,Ene_353,cdn/swf/latest/swf/enemies/ene_353.swf,80,80,80,400,550,1,ya,2,450,False
enemy354,Abyss Conger,ene_354,Ene_354,cdn/swf/latest/swf/enemies/ene_354.swf,80,80,80,400,550,1,ya,2,450,False
enemy355,Wind Lady,ene_355,Ene_355,cdn/swf/latest/swf/enemies/ene_355.swf,80,80,80,400,550,1,ya,2,450,False
enemy356,Animal Realm,ene_356,Ene_356,cdn/swf/latest/swf/enemies/ene_356.swf,80,80,80,400,550,1,ya,1,450,False
enemy357,Asura Realm,ene_357,Ene_357,cdn/swf/latest/swf/enemies/ene_357.swf,80,80,80,400,550,1,ya,5,450,False
enemy358,Rage Asura Realm,ene_358,Ene_358,cdn/swf/latest/swf/enemies/ene_358.swf,80,80,80,400,550,1,ya,8,450,False
enemy359,Preta Realm,ene_359,Ene_359,cdn/swf/latest/swf/enemies/ene_359.swf,80,80,80,400,550,1,ya,5,450,False
enemy360,Human Realm,ene_360,Ene_360,cdn/swf/latest/swf/enemies/ene_360.swf,80,80,80,400,550,1,ya,6,450,False
enemy361,Hell Realm,ene_361,Ene_361,cdn/swf/latest/swf/enemies/ene_361.swf,80,80,80,400,550,1,ya,5,450,False
enemy362,Deva Realm,ene_362,Ene_362,cdn/swf/latest/swf/enemies/ene_362.swf,80,80,80,400,550,1,ya,6,450,False
enemy363,Mantra,ene_363,Ene_363,cdn/swf/latest/swf/enemies/ene_363.swf,80,80,80,400,550,1,ya,7,450,False
enemy364,Forest Nymphs,ene_364,Ene_364,cdn/swf/latest/swf/enemies/ene_364.swf,80,80,80,400,550,1,ya,3,250,False
enemy365,Holy Unicorn,ene_365,Ene_365,cdn/swf/latest/swf/enemies/ene_365.swf,80,80,80,400,550,1,ya,6,450,False
enemy366,Gloomy Unicorn,ene_366,Ene_366,cdn/swf/latest/swf/enemies/ene_366.swf,80,80,80,400,550,1,ya,6,450,False
enemy367,Mech Tyrannzord,ene_367,Ene_367,cdn/swf/latest/swf/enemies/ene_367.swf,1,1,99,400,550,1,ya,3,300,False
enemy368,Mech Tricerzord,ene_368,Ene_368,cdn/swf/latest/swf/enemies/ene_368.swf,1,1,99,400,550,1,ya,3,300,False
enemy369,Mech Sabertooth Tigerzord,ene_369,Ene_369,cdn/swf/latest/swf/enemies/ene_369.swf,1,1,99,400,550,1,ya,3,300,False
enemy370,Mech Mastodonzord,ene_370,Ene_370,cdn/swf/latest/swf/enemies/ene_370.swf,1,1,99,400,550,1,ya,4,300,False
enemy371,Mech Pterodactylzord,ene_371,Ene_371,cdn/swf/latest/swf/enemies/ene_371.swf,1,1,99,400,550,1,ya,4,300,False
enemy372,Batarizord,ene_372,Ene_372,cdn/swf/latest/swf/enemies/ene_372.swf,1,1,99,400,550,1,ya,6,450,False
enemy373,Ravan,ene_373,Ene_373,cdn/swf/latest/swf/enemies/ene_373.swf,1,1,99,400,550,1,ya,7,400,False
enemy374,Spooky Mech Tyrannzord,ene_374,Ene_374,cdn/swf/latest/swf/enemies/ene_374.swf,1,1,99,400,550,1,ya,3,300,False
enemy375,Spooky Mech Tricerzord,ene_375,Ene_375,cdn/swf/latest/swf/enemies/ene_375.swf,1,1,99,400,550,1,ya,3,300,False
enemy376,Spooky Mech Sabertooth Tigerzord,ene_376,Ene_376,cdn/swf/latest/swf/enemies/ene_376.swf,1,1,99,400,550,1,ya,3,300,False
enemy377,Spooky Mech Mastodonzord,ene_377,Ene_377,cdn/swf/latest/swf/enemies/ene_377.swf,1,1,99,400,550,1,ya,4,300,False
enemy378,Spooky Mech Pterodactylzord,ene_378,Ene_378,cdn/swf/latest/swf/enemies/ene_378.swf,1,1,99,400,550,1,ya,4,300,False
enemy379,Spooky Batarizord,ene_379,Ene_379,cdn/swf/latest/swf/enemies/ene_379.swf,1,1,99,400,550,1,ya,6,450,False
enemy380,Turkey Player,ene_380,Ene_380,cdn/swf/latest/swf/enemies/ene_380.swf,1,1,99,400,550,1,ya,4,300,False
enemy381,Giant turkey player,ene_381,Ene_381,cdn/swf/latest/swf/enemies/ene_381.swf,1,1,99,400,550,1,ya,7,300,False
enemy382,Jin,ene_382,Ene_382,cdn/swf/latest/swf/enemies/ene_382.swf,1,1,99,400,550,1,ya,4,300,False
enemy383,Hanzo,ene_383,Ene_383,cdn/swf/latest/swf/enemies/ene_383.swf,1,1,99,400,550,1,ya,4,300,False
enemy384,Suzune,ene_384,Ene_384,cdn/swf/latest/swf/enemies/ene_384.swf,1,1,99,400,550,1,ya,4,300,False
enemy385,"""Shin'ichi""",ene_385,Ene_385,cdn/swf/latest/swf/enemies/ene_385.swf,1,1,99,400,550,1,ya,4,300,False
enemy386,Takeda,ene_386,Ene_386,cdn/swf/latest/swf/enemies/ene_386.swf,1,1,99,400,550,1,ya,4,300,False
enemy387,Vengeful Fury Jin,ene_387,Ene_387,cdn/swf/latest/swf/enemies/ene_387.swf,1,1,99,400,550,1,ya,6,300,False
enemy388,Rogue Samurai Mochi,ene_388,Ene_388,cdn/swf/latest/swf/enemies/ene_388.swf,1,1,99,400,550,1,ya,7,300,False
enemy389,Huffish Male Ninja,ene_389,Ene_389,cdn/swf/latest/swf/enemies/ene_389.swf,1,1,99,400,550,1,ya,4,300,False
enemy390,Huffish Female Ninja,ene_390,Ene_390,cdn/swf/latest/swf/enemies/ene_390.swf,1,1,99,400,550,1,ya,4,300,False
enemy391,Chocolate Evil Beast,ene_391,Ene_391,cdn/swf/latest/swf/enemies/ene_391.swf,1,1,99,400,550,1,ya,5,300,False
enemy392,Chocolate Demon King,ene_392,Ene_392,cdn/swf/latest/swf/enemies/ene_392.swf,1,1,99,400,550,1,ya,6,300,False
enemy393,Origami Devil Spider,ene_393,Ene_393,cdn/swf/latest/swf/enemies/ene_393.swf,1,1,99,400,550,2,ya,5,200,False
enemy394,Ax Aboriginal,ene_394,Ene_394,cdn/swf/latest/swf/enemies/ene_394.swf,1,1,99,400,550,1,ya,4,300,False
